ChapterName,TestNumber,QuestionNumber,QuestionDescription,Option1,Option2,Option3,Option4,Image?
Light,Assessment test III,11,"Arrange the following steps of an experiment to determine the focal length of a concave mirror in proper order.
(A) Focus the mirror to a distant object
(B) Place the concave mirror on a V shaped stand
(C ) Measure the distance between the screen and the mirror
(D) Adjust the position of the screen, such that a clear image is formed on it",,,,,
Light,Assessment test III,12,"A convex lens made of glass, with refractive index 3/2, is placed in a medium of refractive index 5/2, A parallel beam of light entering the lens ______,",diverges,converges,undergoes no refraction,comes out as a parallel beam by itself.,
Light,Assessment test III,13,"The height of the image of an objject placed in front of a convex lens is 4 cm, If the magnification produced by the lens is -2, the height of the object is ______ cm and it is a _______ image.","2, real","8, real","8, virtual","2, virtual",
Light,Assessment test III,14,"The critical angle of a prism is 42°, Choose the correct statement of a light ray incident on a prism as shown below.",The angle of refraction on the surface AB is 30°,The angle of reflection on the surface AB is 60°,The angle of reflection on the surface AB is 30°,The angle of refraction on the surface AB is 42°,X
Light,Assessment test III,15,"If a coin is placed at the bottom of a tank filled with water, upto a height 2m, it appears to be at a depth of ________from the surface of the water. (Refractive index of water is = 4/3) ",3/4.,2/3.,4/3.,3/2.,
Light,Assessment test IV,1,Choose the wrong statement (S),The formation of an image is always due to the reflection,Real images can not be formed due to the reflection of light,The formation of a real image is always due to the refraction of the light rays.,All of the above,
Light,Assessment test IV,2,"The point of intersection of incident rays is _________,", a real object,a real image,a virtual image,a vertual object,
Light,Assessment test IV,3,"An optical instrument is placed inside a box as shown below. The incident rays and emergent rays are also shown. The optical instrument could be _______,",a convex mirror,a concave mirror,a concave lens,either a concave lens or a convex mirror,X
Light,Assessment test IV,4,Converging light rays incident on a convex mirror is as shown below. What is the image distance with proper sign convention ?,+10 cm,-10 cm,+20 cm,-20 cm,X
Light,Assessment test IV,5,A convex mirror of focal length 20 cm forms an image whose size is one third of the size of the object. The object distance is ________cm.,60,40,50,80,
Light,Assessment test IV,6,A plane mirror is shifted towards an object by 5 c. What is the shift in position of the image?,5 cm,10 cm,20 cm,40 cm,
Light,Assessment test IV,7,"The velocity of light in two media 'X' and 'Y' are 10^8 m s6-1 and 1.5 x 10^8 m s^-1, respectively. The refractive index of Y with respect to X is ________,",,2,,,
Light,Assessment test IV,8,"When a person suffering from short sightedness looks at an object at infinite distance, the focal length of the eye lens is _______ that of a normal eye.",equal to,lessthan,greater than,double,
Light,Assessment test IV,9,"In the evening hours, Sky appears _______, ",Orange or red as light rays travel long distance,blue due to the scattering of light with lower wavelength,dark as there is no scattering taking place in the sky,white as there is no scattering taking place in the sky,
Light,Assessment test IV,10,"Match the statements of coloumn A with those of coloumn B,
    Coloumn A                                                    Coloumn B
(A) Dispersion                                             (a) Mirage
(B)  Scattering                                             (b) pin hole camera 
(C)  Total internal reflection                          (c) Red light used as traffic signal
(D) Rectilinear propagation                           (d) Rainbow",,,,,
Light,Assessment test IV,11,"Arrange the following steps to determine the focal length of a convex lens in proper order.
(A) Focus the lens to a distant object
(B) Measure the distance between the lens and the screen
(C ) Place the lens on a stand.
(D) Adjust the position of the screen to obtain a clear image on it.
",CABD,CBAD,CADB,CBAD,
Light,Assessment test IV,12,"A Concave lens made of a material of refractive index 3/2 is placed in atransparent liquid of refractive index 1.8. A parallel beam of light rays after passing through the lens ________,",diverges,converges,undergoes not refraction,emerges out as a parallel beam itself.,
Light,Assessment test IV,13,"The height of the object placed in front of a convex lens is 20 cm. if the magnification is +3, the height of the image is _________cm and it is formed in the _________side of the object.","60, same","60, opposite","20/3, same","20/3, opposite",
Light,Assessment test IV,14,"The critical angle of the prism shown below is 42°, If the light ray enter a prism as shown below, Choose the correct statement. 
(A) Light ray emerges out from the side AC
(B) Angle of deviation is 180°
(C ) Light ray does not undergo any refraction on the surface AB.",,,,,X
Light,Assessment test IV,15,A stamp placed under a glass slab appears to be at a distance 4 cm from the top surface. Then the thickness of glass slab is ______cm. ( Refractive index of glass = 3/2),16,9,6,8,
Electricity,Assessment Test I,1,What happens when a glass rod is rubbed with silk cloth?,the electrons flow from glass rod to silk cloth.,the glass rod becomes a negatively charged body.,the glass rod becomes a positively charged body.,Both (a) and (c),
Electricity,Assessment Test I,2,"What happens when two identical bodies 'A' and 'B', which have +10 C and +5 C, respectively, are connected to each other by means of a metal wire?",the conventional current flows from A to B.,the electronic current flows from A to B.,the electronic current flows from B to A.,Both (a) and (c),
Electricity,Assessment Test I,3,"An electrical conducting wire (ABCD) of negligible resistance is connected parallel to the resistor of R = 100Ω as shown in the figure. If 2 x 10¹³ electrons are pushed into the the circuit in every one second, then the current flowing through the conductor (ABCD) is __________________. (charge of an electron = 1.6 x 10⁻¹⁹)",8 x 10⁻⁶ A,1.6 x 10⁻¹³,1.6 x 10⁻⁶ A,3.2 x 10⁻⁶ A,x
Electricity,Assessment Test I,4,An electric device of 50 W is made to run for 20 h per day. If one unit costs ₹ ______________ .,125,150,75,50,
Electricity,Assessment Test I,5,In which of the following electric circuits does the electric bulb shown glow?,x,x,x,x,
Electricity,Assessment Test I,6,"Assertion (A) : When current is supplied by a cell, the cell gains electrons. Reason (R): The number of electrons coming out of the cell to the circuit is equal to the number of electrons entering the cell from the circuit.",A and R are true and R is the correct explanation of A.,"A and R are true, but R is not the correct explanation of A.",A is true but R is false.,Both A and R are false.,
Electricity,Assessment Test I,7,Assertion (A) : Mica sheets are placed on either side of the heating elemet. Reason (R): Mica does not conduct electricity but transfer the heat.,A and R are true but R is the correct explanation of A.,"A and R are true, but R is not the correct explanation of A.",A is true but R is false.,Both A and R are false.,
Electricity,Assessment Test I,8,"Match the statement of Column A with those of Cloumn B.
Column A Column B
A. Chemical decomposition reaction a. NH₄Cl
B. Dichromate cell. b. Metallugical applications.
C. Chemical effect of electricity c. Electrolyte
D. Leclanche cell d. K₂Cr₂O₇ + H₂SO₄",A → a; B → d; C → c; D → b,A → a; B → d; C → d; D → c,A → c; B → d; C → b; D → a,A → c; B → b; C → d; D → a,
Electricity,Assessment Test I,9,"Two identical copper coins are melted and two wires 'A' and 'B' are made out of them. What is the resistance of B, if the lenght of A is twice that of B?",equal to the resistance of A,equal to half the resistance of A,equal to quarter the resistance of A,equal to 1/8 times the resistance of A,
Electricity,Assessment Test I,10,An electric fan consumes 1500 J of electrical energy in half-minute. The power of the fan is __________ .,50 watt,150 J s¹⁻,45 watt,200 J s¹⁻,
Electricity,Assessment Test I,11,"Based on the figure given below, four statements are given. Choose the correct statement among them.","Bulbs A,C and D are in series.","Bulbs A,B and D are in parallel.",Bulbs A and B are in series.,Bulbs C and D are in parallel to bulbs A and B,x
Electricity,Assessment Test I,12,"Leclanche cell consists of porous pot and a zinc rod placed in a solution of NH₄Cl in a glass jar, the porus pot contains powsered carbon and MnO₂ with carbon rod dipped in it.
A. Carbon rod acts as a positive electrode
B. zinc rod acts as a negative electrode",Both A and B are correct,A is correct and B is incorrect,A is incorrect and B is correct,Bulbs A and B are incorrect.,
Electricity,Assessment Test I,13,"In which of the following, the principle of chemical effects of electricity is used?",Telephones,Electroplating,Electric bell,Electric motor,
Electricity,Assessment Test I,14,"In a domestic use, two fans of 100 W, there bulbs of 60 W each and 120 W of washing machine are used continuously for 10 h. Arrange the following steps to determine the amount of electrical energy consumed in proper sequence. 
A. Use the formula P = E/t
B. Find the wattage of different electrical appliances and time for which they are used.
C. Find the electrical energy consumed by each appliance.
D. Add them all and get the total electrical energy consumed.",DABC,BACD,DACB,BCAD,
Electricity,Assessment Test I,15,An electron revolves around a nucleas of an atom in an orbit of radius 'r' with a speed 'u'. Which is the electric current due to the motion the electron? (charge of the electron is represented as 'e'),ev/2πr²,ev²/2π,ev/2π,ev/πr,
Electricity,Assessment Test II,1,What happens when an ebonite rod is rubbed with fur?,the electrons flow from fur to ebonite rod.,the protons flow from fur to ebonite rod.,the ebonite rod becomes a positively charged body.,Both b and c,
Electricity,Assessment Test II,2,A charged body of charge -100⁰ C is connected to the ground. Then ________________.,the conventional current flows from the body to the ground.,the conventional current flows from the ground to the body.,the electronic current flows from the ground to the body because ground is at zero potential.,Both a and c,
Electricity,Assessment Test II,3,"An electrical conducting wire PQRS of negligible resistance is connected parallel to bulbs B₁, B₂, B₃ as shown in the figure. If 4 x 10¹⁸ electrons are emitted from the cell into the circuit, in each second, then the current flowing through the bulb B₂ is ______________ (The magnitude of charge of an electron is 1.6 x 10⁻¹⁹ C).",12:00 AM,0.64 A,0.4 A,6.4 A,x
Electricity,Assessment Test II,4,"Two electric bulbs of 100 W each are used for 10 h per day in the month of September. If the price of one unit is ₹ 3, then the electricity bill for two bulbs would be ₹ ____________ .",300,380,180,280,
Electricity,Assessment Test II,5,"In which of the electrical circuit diagrams given below, does electric bulb show a glow?",x,x,x,x,
Electricity,Assessment Test II,6,"Assertion (A) : Insulators cannot conduct electricity.
Reason (R) : The electricity flowing through the solids is due to the flow of free electrons in them and insulators have less number of free electrons.",A and R are true and R is the correct explanation of A.,"A and R are true, but R is not the correct explanation of A.",A is true but R is false.,Both A and R are false.,
Electricity,Assessment Test II,7,"Match the statement of Column A with those of Column B.
Column A Column B
A. Gold covering a. Heating effect of electricity
B. Button cell b. Chemical effect of electricity.
C. EMF c. Volt
D. An electric stove. d. Zinc acts as anode",A → d; B → a; C → b; D → c,A → b; B → d; C → c; D → a,A → b; B → a; C → c; D → d,A → a; B → c; C → b; D → d,
Electricity,Assessment Test II,8,"Assertion (A) : Magnesium oxide or quartz sand is used in a heater.
Reason (R) : Magnesium oxide or quartz sand has high electrical resistance and is the most preferred material for the preperation of heating elements.",A and R are true and R is the correct explanation of A.,"A and R are true, but R is not the correct explanation of A.",A is true but R is false.,Both A and R are false.,
Electricity,Assessment Test II,9,"The lenght of two silver rods 'A' and 'B', having the same mass, are in the ratio 2:3 and the resistance of A is ___________ times the resistance of B.",15/14,14/15,04/Sep,05/Mar,
Electricity,Assessment Test II,10,"An electric geyser consumes 10,000 J of electrical energy in 300 s to boil water. What is the power of the electric greaser?",666.6 W,333.33 W,33.33 W,3 W,
Electricity,Assessment Test II,11,"Five bulbs 'A', 'B', 'C', 'D' and 'E' are connected to each other as shown in the figure. Identify the correct statement from the statements given below.","Bulbs A, B, C, D and E are connected in series.",The bulb E is connected in series to bulbs C and A.,The bulb C and D are in series and are parallel to the combination of A and B and also parallel to E.,Both b and c,x
Electricity,Assessment Test II,12,"Choose the correct statement(s)
A. In a dry cell, the powdered carbon present in the electrolyte enhances the flow of charge through it.
B. In lead-acid storage battery, the electrodes are made up of zince or carbon.",Both A and B are correct,A is correct and B is in correct,A is incorrect and B is correct,Both A and B are incorrect,
Electricity,Assessment Test II,13,Which of the following statements is not true with regards to Daniel cell?,It consists of glass container which is divided into two unequal portions by a porous membrane,One portion contains ZnSO₄ solution with a zinc rod dipped in it.,Another portion contains CuSO₄ solution with a copper rod dipped in it.,Electrons get accumulated over the zinc rod.,
Electricity,Assessment Test II,14,"In a factory, 100 bulbs of 100 W, 100 fans of 60 W and 100 tube lights of 40 W are used for 10 h per day for 30 days. Arrange the following steps to calculate the total energy consumed, in a proper sequence.
A. Find the energy consumed by bulbs, fans and tube lights
B. Find the wattage of diferent electrical appliances from given data.
C. Find the total number of hours they are used in 30 days.
D. Add all the energies consumed by all appliances to get total energy.
E. Use P = E/t",EABCD,BECAD,BCEAD,ECABD,
Electricity,Assessment Test II,15,"If a stream of He²⁺ ions passes through a cross section at the rate 2 x 10¹⁹ ions per second, then electric current due to the flow of ions is ________ A.",3.2,6.4,7.2,"1,6",
Electricity,Assessment Test III,1,SI unit of electromotive force is ____________ .,newton,volt,ohm,coulomb,
Electricity,Assessment Test III,2,In an electric circuit electrons always move from ____________ to ____________ of the cell.,lower potential to higher potential,negative terminal to positive terminal,higher potential to lower potential,Both a and b,
Electricity,Assessment Test III,3,"Match the statments of Coloumn A with those of Coloumn B.
Column A Column B
A. Dry cell p. 1.5V
B. Voltaic cell q. 2 V
C. Bichromate cell r. 1.08 V
D. Leclanche cell s. 1.2 V ",A → s; B → q; C → r; D → p,A → p; B → r; C → q; D → p,A → s; B → r; C → p; D → q,A → s; B → p; C → q; D →r,
Electricity,Assessment Test III,4,"Two bulbs each of 40 W and 50 W power are used for 1/5th of a day and 3/5th of a day, respectively. Write the following steps in a sequential order to find the total number of units consumed by them when they are used for 15 days.
A. Convert the time into hours.
B. Find the total energy (E) consumed by them in one day, i.e., E = E₁ + E₂
C. Write the energy in terms of units, i.e., commercial unit of electric energy.
D. Find the electric energy consumed by each bulb in a day using E₁ = P₁t₁ and E₂ = P₂t₂ .
E. Note down the powers of the bulbs and the time for which they are used per day as P₁,P₂ and t, t₂ respectively.
F. Now multiply E with 15 to get the energy consumed by them in 15 days.",AEDBFC,EADBCF,EADBFC,EABDCF,
Electricity,Assessment Test III,5,The number of free electrons present in a certain volume of silver is _____________ than the number of free electrons present in the same volume of aluminium.,lesser,greater,neither greater nor lesser,None of these,
Electricity,Assessment Test III,6,Choose the correct one from the following.,Resistance is the amount of charge crossing unit cross-section of a conductor in 1s,Resistance is inversely proportional to the square of the two charges.,Electrostatic force depends on the medium between the two charges.,Both b and c,
Electricity,Assessment Test III,7,Which of the following has the defects like local action and polarization?,Daniel cell,Voltaic cell,Leclanche cell,Dry cell,
Electricity,Assessment Test III,8,What happens when a nutral body is brought in contact with a negatively charged body?,it becomes positively charged,it becomes negatively charged,the net charge is zero,it consists of equal positive and negative charges,
Electricity,Assessment Test III,9,"If an electric current of 5 A flows through a circuit which consists of a bulb, then the number of electrons passing through the bulb in 2 minutes is _____ .",3750 x 10¹⁹ electrons,3.75 x 10²¹ electrons,3.75 x 10¹⁹ electrons,3.75 x 10⁻¹⁹ electrons,
Electricity,Assessment Test III,10,A 60 W bulb is switched ON for 20 h. What is the energy consumed in commercial unit?,120 kWh,120 unit,1.2 unit,3 unit,
Electricity,Assessment Test III,11,"What is the charge developed, if a body gains 50 x 10¹⁸ electrons by rubbing it with another body?",2 C,16 C,8 C,-8 C,
Electricity,Assessment Test III,12,"A 60 W bulb is used 10 h per day. If the cost of electricity is ₹ 4 per unit, then the bill for the month of February in an leap year is _________.",₹ 240,₹ 70,₹ 120,₹ 75,
Electricity,Assessment Test III,13,"The lenght and radius of 'a' wire are 'l' and 'r', respectively, and its resistance is 'R'. If the lenght and radius are doubled, then its new resistance _______.",remains same,is doubled,is R/2,is R/4,
Electricity,Assessment Test III,14,"If l₁ , l₂ and r₁ , r₂ are the lenght and radius of cross-section of two wires made of the same material and l₁r₂²/ l₂r₁² = 1/4 , then the ratio of resistance of two wires is _______. ",04:01,01:16,01:04,16:01,
Electricity,Assessment Test III,15,"Six identical bulbs B₁, B₂, B₃, B₄, B₅ and B₆ are connected to a cell in the following lowing manner.
If V = 20 V and the resistance of the each bulb is = 2 Ω, then total current in the given circuit is __________",40A,11.11A,16.6 A,1.6A,x
Electricity,Assessment Test IV,1,SI unit of an electric charge is ______,volt,ampere,coulomb,farady,
Electricity,Assessment Test IV,2,Inside a cell conventional current flows from ____________,negative terminal to positive terminal,lower potential to higher potential,higher potential to lower potential,both a and b,
Electricity,Assessment Test IV,3,"Match the enteries of Column A with those of Column B by using a relation,
F = 1/4πε₀ q₁q₂/r² 
Column A Column B
A. Electrostatic force between the charges q₁,q₂ at a distance 2r is p. 16F
B. Coulomb force between the charges 2q₁, 2q₂, at r/2 distance is, q. 0 8/9F
C. Force between the charges 2q₁, q₂ at 2r distance is r. F/4
D. Force between the charges q₁, 2q₂ at 3r/2 distance is s. F/2",A → r; B → s; C → p; D → q,A → r; B → p; C → q; D → s,A → p; B → r; C → s; D → q,A → r; B → p; C → s; D → q,
Electricity,Assessment Test IV,4,"If 4 of current flows through a conductor in one minute, how many number of charge carried passed through it? Write following steps in a sequential order to find the number of electrons that passed through a conductor in one minute.
A. Equate 1 and 2, to find the number of electrons.
B. Find the charge (Q) that follows through the circuit using Q = ___________ (current x time) _________ (1).
C. Note the given data about current (i) and time (t).
D. The number of electrons (n) flowing through the circuit can be found using Q = ne. ___________ (2)",BCDA,CBDA,CDBA,CDAB,
Electricity,Assessment Test IV,5,The number of free electrons per unit volume is more in _______________,glass,graphite,iron,water,
Electricity,Assessment Test IV,6,Choose the incorrect one from the following.,Charge density is the product of charge and surface area.,Carbon is not used as positive electrode in lead-acid storage battery.,Polarisation and local action are the defects of Leclanche cell,both a and c,
Electricity,Assessment Test IV,7,Which of the following has ammonium chloride as an electrolyte.,Voltaic cell,Dry cell,Leclanche cell,Both b and c,
Electricity,Assessment Test IV,8,"When a neutral body conceded to earth is brought closer to a negatively charged body, then",it becomes negatively charged,it consists of equal positive and negative charge,it becomes positively charged,no change in charge on it.,
Electricity,Assessment Test IV,9,"If the power of the bulb is 40 W and its resistance is 10 Ω, then the amount of current passing through it in 1 s is ___________.",04:00 AM,05:00 AM,40 A,02:00 AM,
Electricity,Assessment Test IV,10,"A bulb consumes 4,000 J of energy in 50 s, then the power of the bulb is __________.",60 W,40 W,80 W,100 W,
Electricity,Assessment Test IV,11,"What is the charge on 'X', if a body X loses 125 x 10¹⁸ electrons by rubbing it with another body 'Y' ?",20C,2C,-8C,-20C,
Electricity,Assessment Test IV,12,"The cost of one unit of electricity is ₹5. If the bill is ₹200, then the number of units consumed is _____________ .",20units,60 units,50 units,40 units,
Electricity,Assessment Test IV,13,"Two wires of the same lenght but different radii are having their resistance ration 1:9. If the radius of the first wire is 'r', then the radius of the second wire is ____________ .",r/3,r/2,r,r/9,
Electricity,Assessment Test IV,14,"Two wires made of same material are having the lenghts l₁,l₂ and ratio r₁,r₂. If l₁:l₂ = 1:1 and r₁:r₂=1:2, the ratio of their resistance R₁:R₂ is ____________.",02:01,01:04,04:01,01:02,
Electricity,Assessment Test IV,15,"In the figure given below, what is the ratio of potential across AB and CD, if all the bulbs are identical?",01:01,05:04,04:01,04:05,x
Magnetism and Our Universe,Assessment Test I,1,"Assertion (A): Direct Current (DC) and alternating current (AC) both are used for the electrical method of magnetisation.
Reason (R) : Direct Current and alternating current produce constant magnetic field.",A and R are true and R is the correct explanation of A,A and R are true and R is not the correct explanation of A,A is true but R is false,Both A and R are false,
Magnetism and Our Universe,Assessment Test I,2,"Arrange the following steps in sequential order to magnetize a steel bar with a strong permanant magnet.
A. Keep the steel bar to be magnetized on a wooden table
B. Take a strong permanat magnet and bring one pole (say north pole) of the magnet near one end of the steel bar and gently rub from one end.
C. Once it has reached the other end, lift the magnet gently away from the steel bar and again bring it to the starting end.
D. Repeat this process several times so that the steel bar is magnetized with the starting end as the north pole and the other end as the south pole.",ACBD,BACD,ABCD,ADBC,
Magnetism and Our Universe,Assessment Test I,3,A substance which is feebly repelled by a magnet is a ____________.,diamagnetic substance,paramagnetic substance,ferromagnetic substance,none of the above,
Magnetism and Our Universe,Assessment Test I,4,The equatorial meridian of a magnet _____________ .,bisects the magnetic axis perpendicularly.,is parallel to the magnetic axis.,makes a certain angle with the magnetic equator.,contains both the poles of the magnet.,
Magnetism and Our Universe,Assessment Test I,5,"Match the statemnt of Column A with those of Column B.
Column A. Column B
A. Like poles a. Attraction
B. Unlike poles b. Attraction
C. Null points c. Magnetic flux
D. Magnetic field line passing d. Repulsion 
perpendicular to a given area",A → d; B → b; C → a; D → c,A → d; B → a; C → b; D → c,A → b; B → d; C → a; D → c,A → c; B → a; C → d; D → b,
Magnetism and Our Universe,Assessment Test I,6,"Assertion (A): Magnetic lines of force never intersect each other.
Reason (R) : If they intersect, there will be two directions for the magnetic field which is impossible.",A and R are true and R is the correct explanation of A,A and R are true and R is not the correct explanation of A,A is true but R is false,Both A and R are false,
Magnetism and Our Universe,Assessment Test I,7,"In the diagram given below, if 'x' is a neutral point, magnetic poles 'A' and 'B' are ____ and _____ respectively.","North,South","North,North","South,North","South,South",x
Magnetism and Our Universe,Assessment Test I,8,Magnetic field lines are ___________,closed continuous curves.,directed from north pole to south pole in the magnetic field.,directed from south pole to north pole inside the magnet.,All of the above.,
Magnetism and Our Universe,Assessment Test I,9,Magnetic induction depends on _______________ .,nature of the medium,strenght of inducing the magnet,nature of the magnetic substance,Both b and c,
Magnetism and Our Universe,Assessment Test I,10,"In the sun, hydrogen is converted to ____________",helium,oxygen,carbon,nitrogen,
Magnetism and Our Universe,Assessment Test I,11,1 light year = ________ m,9.46 x 10¹⁵,2.46 x 10¹⁵,15 x 10¹⁵,20 x 10¹⁵,
Magnetism and Our Universe,Assessment Test I,12,The angle of declination is ______________ .,90⁰ at the poles,0⁰ at the equator,variable,constant,
Magnetism and Our Universe,Assessment Test I,13,"The magnetic moment of a bar magnet 'A' and its lenght are half thet of another bar magnet 'B'. Arrange the following steps in sequential order to find the ratio of their pole strenghts.
A. Write the given values of magnetic moment (M) and magnetic lenght (2l) of the bar magnets A and B.
B. Write the expression for pole strenght (m) for each magnet using M/2l.
C. Divide the two expressions to get the ratio of mA to mB",BAC,ACB,BCA,ABC,
Magnetism and Our Universe,Assessment Test I,14,What happens when a magnet is broken into two parts?,the smaller part acts like the north pole,the bigger part acts like the north pole,both the parts will have both the poles,polarity of each part depends upon the material,
Magnetism and Our Universe,Assessment Test I,15,Choose a suitable option for a current carrying straight conductor.,south and north pole do not exist,south and north pole are present but cannot be found,one face is the north pole and the other is the south pole,no lines of force can be drawn,
Magnetism and Our Universe,Assessment Test II,1,"Assertion (A): When an iron piece is magnetized, its lenght silghtly increases.
Reason (R) : The closed molecular chains break down and all molecules align themselves in the direction of external magnetic field.",A and R are true and R is the correct explanation of A,A and R are true and R is not the correct explanation of A,A is true but R is false,Both A and R are false,
Magnetism and Our Universe,Assessment Test II,2,"Arrange the following steps in sequence for ploting the magnetic lines of force around a bar magnet.
A. Place a bar magnet NS on the line such that its axial lines conincides with the line on the paper and mark its boundry.
B. Draw a line in the middle of a white paper fixed on a drawing board.
C. Repeat the procedure by shifting the compass and mark the points 2,3,4 etc.
D. Take a plotting compass and place it near the north pole of the bar magnet and mark the point 1 in the direction in which the north pole of the plotting compass points.
E. Join the points 1,2,3 ................... by a smooth curve.",ABCDE,BADCE,ACBDE,BACDE,
Magnetism and Our Universe,Assessment Test II,3,Which is the example of diamagnetic substance?,Platinum,Iron,Gold,Nickel,
Magnetism and Our Universe,Assessment Test II,4,Physical lenght of a bar magnet is _______________ magnetic lenght,less than,greater than,equal to,may be less than or greater than,
Magnetism and Our Universe,Assessment Test II,5,"Match the statement of Column A with those of Column B.
Coloumn A Coloumn B
A. Magnetic Field. a. Same angle of declination
B. Magnetic field lines b. Angle of dip is zero
C. Isogonic Line c. Never intersect
D. Aclinic line d. Region in space where the effect of a maget is felt.",A → d; B → c; C → a; D → b,A → d; B → c; C → b; D → a,A → c; B → d; C → a; D → b,A → b; B → c; C → d; D → a,
Magnetism and Our Universe,Assessment Test II,6,"Assertion (A): Steel is used for making a permanant magnet.
Reason (R) : Retentivity of steel is high.",A and R are true and R is the correct explanation of A,A and R are true and R is not the correct explanation of A,A is true but R is false,Both A and R are false,
Magnetism and Our Universe,Assessment Test II,7,"In the diagram, the magnetic poles 'X' and 'Y' are ____ and _____ respectively.","South,North","North,South","South,North","North,North",x
Magnetism and Our Universe,Assessment Test II,8,Which of the following is the test for magnetism?,conduction,induction,repulsion,attraction,
Magnetism and Our Universe,Assessment Test II,9,Light year is the unit of ___________,time,average intensity of sunlight in one year,distance,period of revolution of earth around sun,
Magnetism and Our Universe,Assessment Test II,10,"If it takes 8 min and 20 s for sunlight to reach the Earth, the distance between the Earth and the Sun is ___________ .(The velocity of light is 3 x 10⁸ ms⁻¹)",5 x 10¹⁰m,10 x 10¹⁰ m,15 x 10¹⁰ m,20 x 10¹⁰ m,
Magnetism and Our Universe,Assessment Test II,11,"The angle made by the Earth's magnetic field with its vertical component is 60⁰, the angle of dip at the place is ______________",60⁰,30⁰,90⁰,0⁰,
Magnetism and Our Universe,Assessment Test II,12,"A bar magnet has a pole strength of 10 A -m. If the distance from its centre to either of the poles is 5cm, arrange the following steps in sequential order to find its magnetic moment in SI unit.
A. Substitute the values in the above formula to get the value of M.
B. Write the given value of pole strenght (m) of the magnet.
C. Find the value of magnetic lenght (2l) of the magnet from the problem and convert it into SI unit.
D. Write the required formula, i.e. magnetic moment (M) = mx 2l",BCDA,ABDC,BDCA,ABCD,
Magnetism and Our Universe,Assessment Test II,13,"Magnetic keepers, used to prevent loss of magnetism, must be made of _____________",wood,copper,soft iron,Both b and c,
Magnetism and Our Universe,Assessment Test II,14,What happens when a small steel rod is brought near a bar magnet?,magnetism is induced in the steel rod and it gets attracted to the magnet.,the steel rod becomes the magnet and the bar magnet loses its magnetism.,the steel rod first gets attracted and then magnetism is induced in it.,the steel rod destroys the magnetic properties of the bar magnet.,
Magnetism and Our Universe,Assessment Test II,15,Why do meteors seldom reach the Earth?,freezing caused when they pass through the atmosphere,greater force of attraction towards the Sun,greater force of attraction towards the Moon,vapourization is caused when they pass through the atmosphere.,
Magnetism and Our Universe,Assessment Test III,1,In our solar system which of the following planets has hight orbital speed?,Earth,Mars,Mercury,Jupiter,
Magnetism and Our Universe,Assessment Test III,2,"Among the following, pick out the odd one.",Phobos,Shoemaker levy,Deimos,Moon,
Magnetism and Our Universe,Assessment Test III,3,The retentivity is high for _________,soft iron bar,steel bar,aluminium bar,copper bar,
Magnetism and Our Universe,Assessment Test III,4,"Match the statements of Coloumn A with those of Column B
Column A Column B
A. SI unit of pole strenght a. A - m
B. Magnetic Keeper b. Tesla
C. SI unit of magnetic moment c. A - m
D. SI unit of magnetic field induction d. Prevents loss of magnetism.",A → c; B → b; C → d; D → a,A → c; B → d; C → b; D → a,A → c; B → d; C → a; D → b,A → d; B → c; C → a; D → b,
Magnetism and Our Universe,Assessment Test III,5,"Following are steps to magnetize a steel bar. Arrange them in a sequential order.
A. The end at which current enters in an anti-clockwise direction will become the north pole and the other end becomes the south pole.
B. Keep the steel bar to be magnetized inside a long coil of insulated copper wire.
C. Pass a strong direct current through the coil for sometime.
D. The specimen of steel bar will get magnetized.",CBDA,BDCA,BADC,BCDA,
Magnetism and Our Universe,Assessment Test III,6,"Arrange the following diagrams in a sequential order from a new moon day to full moon day
A. x
B. x
C. x
D. x
E. x",EABDC,DABCE,EACBD,ECABD,
Magnetism and Our Universe,Assessment Test III,7,Synodic month is of _________,29 1/2 days from one new moon to the next new moon.,30 days from one new moon to the next new moon.,15 days from one new moon to the next new moon.,27 1/2 days from one new moon to the next new moon.,
Magnetism and Our Universe,Assessment Test III,8,Which of the following material is/are feebly repelled by a magnet?,Water,Aluminium,Platinum,both a and b,
Magnetism and Our Universe,Assessment Test III,9,Ewing's molecular theory could not explain ____________,ferromagnetism,saturation of magnetism,the existance of dipoles,both a and c,
Magnetism and Our Universe,Assessment Test III,10,Angle of inclination is always ______________,remains constant,varies from 0⁰ to 90⁰,varies from 0⁰ to 30⁰,varies from 0⁰ to 60⁰,
Magnetism and Our Universe,Assessment Test III,11,The strenght of a magnetic flux density increases as _________________,the distance between magnetic poles increases,the magnetic strenght increases,the number of magnetic lines of force passing through a given area increases,both b and c,
Magnetism and Our Universe,Assessment Test III,12,"From the figure given below, chose the point where the net magnetic field induction is zero",B,C,A,D,x
Magnetism and Our Universe,Assessment Test III,13,Choose the planet from the following that rotates from east to west.,Venus,Mars,Sturn,Jupiter,
Magnetism and Our Universe,Assessment Test III,14,A bar magnet of pole strenght 2 x 10 A-m has its effective lenght 8 cm. What is its magnetic momet?,16 x 10⁻⁴ A-m,1.6 x 10⁻³ A-m²,16 m A-m²,16 x 10⁻³ A-m,
Magnetism and Our Universe,Assessment Test III,15,Geostationary satellite is launched in the orbit at a height __________ from the Earth's surface.,"30,000km","36,000km","36,000m","30,000m",
Magnetism and Our Universe,Assessment Test IV,1,Which of the following planet has the minimum orbital speed?,Saturn,Venus,Jupiter,Neptune,
